pano|pmes|conglome|submuestra|vivienda|hogar|codperso|dominio|estrato|codpanel|p103|p104|p105|p106|p107|p108|p109a|p109b|p109c|p200n|p200i|p200a|p200b|p200bb|p200c|p200d|p200dd|p200e|p200f|p200g|p201|p202|p203|p204|p2041|p2042|p2043|p2044|p2045|p2046|p2047|p2048|p2049|p20410|p204a|p205a|p206|P206AA|p207a|p207b|p208b1|p208b2|p208b3|p209a|p209b|p209c|p209d|p209e|p209f|p209g|p209t|p209bb|p209cc|p209h|p209ee|p210|p211a|p211b|p212a|p212b|p212c|p212d|p212e|p213|p214|p215|p216|p217|p218|p219|p220|p222|P223A1|P223A2|P223A3|P223A4|P223A5|P223A6|P223A7|P224|P225|ocu200|i211a|i211b|i212a|i212b|i212c|i212d|ingtot|ingprin|resident|fa_jja20
2020|06|017483|001|0002|11|02||4|18061102|2|1|2||2|37|6|5||2|2|14|6|2020|20|6|2020|11|1|1983|1||||||||||||||523|5610|3|5|1|5|||2005|9|9|9|9|9|0|9|54|1||1|2|1|60|9|||||1|||||||||5|0|0|0|0|0|0|1|6|4|1|1500|225|||||1725|1725|1|397.762184898873
2020|06|017483|001|0002|11|03||4|18061103|3|1|2||2|15|5|3||3|3|14|6|2020|20|6|2020|11|9|2004|2|2|2||2|2|2|2|2|2|2|2|2|2||||||||||||||||||||||||||||||2|4|2|||0||2|5|0|0|0|0|0|0|1|6|4|4|||||||||1|414.27745937236
2020|06|017483|001|0002|11|04||4|18061104|3|1|2||1|9|3||2||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1|
2020|06|017483|001|0003|11|01||4|18061101|1|1|2||1|56|5|3||1|1|14|6|2020|20|6|2020|5|7|1963|1||||||||||||||983|4100|4|5|1|2|8|6|2020|0|4|0|4|0|0|4|12|2|40|2|2|2|90|0|||||1|||||||||6|0|0|0|0|0|0|1|6|4|1|390|0|||||390|390|1|234.120717840747
2020|06|017483|001|0003|11|02||4|18061102|2|1|2||2|45|6|5||2|2|14|6|2020|20|6|2020|16|9|1974|2|2|2||2|2|2|2|2|2|2|2|2|2||||||||||||||||||||||||||||||2|5|1|2||0||1|6|0|0|0|0|0|0|1|6|4|4|||||||||1|235.103993546464
2020|06|017483|001|0003|11|03||4|18061103|3|1|2||2|22|7|2||3|3|14|6|2020|20|6|2020|2|1|1998|2|2|2||2|2|2|2|2|2|2|2|2|2||||||||||||||||||||||||||||||2|5|1|2||0||1|6|0|0|0|0|0|0|1|6|4|4|||||||||1|414.27745937236
2020|06|017483|001|0003|11|04||4|18061104|3|1|2||2|16|5|4||4|4|14|6|2020|20|6|2020|22|6|2004|2|2|2||2|2|2|2|2|2|2|2|2|2||||||||||||||||||||||||||||||2|4|2|||0||2|6|0|0|0|0|0|0|1|6|4|4|||||||||1|414.27745937236
2020|06|017483|001|0003|11|05||4|18061105|3|1|2||2|8|3||2||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1|
2020|06|017483|001|0004|11|01||4|18061101|1|1|2||1|44|5|4||1|1|14|6|2020|20|6|2020|15|2|1976|1||||||||||||||885|4922|2||1|1|||2014|0|10|10|10|10|10|10|60|1||1|2||||2078|0|||1|||||||||6|0|0|0|0|0|0|1|6|4|1|||2078|0|||2078|2078|1|432.904646017839
2020|06|017483|001|0004|11|02||4|18061102|2|1|2||2|44|5|4||2|2|14|6|2020|20|6|2020|4|8|1975|1||||||||||||||522|5610|4|5|1|7|||2014|8|8|8|8|0|8|8|48|1||1|2|2|200|54|||||1|||||||||6|0|0|0|0|0|0|1|6|4|1|866|234|||||1100|1100|1|397.762184898873
